loop_cont , time_coordinate , robot_x_position , robot_y_position , robot_yaw , robot_speed_x , robot_speed_y , robot_angvel , loop_x_direciton_Tcost:  , loop_y_direciton_Tcost:  , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost , loop_time_cost
1,18.13516092300415039,-0.00438798685954883,0.00102620203238980,0.02168070204444808,0.05623362976620679,0.01118734941915444,-0.22543245375089768,707.44104561362064487,55.10653729439960102,1455.41524543983723561,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.03124189376831055
2,18.15382766723632812,-0.00437636938660535,0.00101365483594707,0.02165053383692250,0.07446670219176468,0.02349157993573554,-0.31003530922245026,986.62724384241641928,76.82721109536737458,2030.30222258417006742,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01815032958984375
3,18.25070500373840332,-0.00437895779171937,0.00102357527549489,0.02168382244368487,0.10180115460511589,0.04230992842695554,-0.42725632603823316,1266.83553420391467625,98.48559503855958042,2606.77417831863385800,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01506829261779785
4,18.35287332534790039,-0.00400777415361209,0.00053736791183304,0.02030964055035984,0.12991683328377793,0.07268149903506009,-0.50000000000000000,1543.90369011279381084,120.14303437814652398,3178.28413347748755768,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01704239845275879
5,18.45717430114746094,-0.00370062874952681,0.00054808523984097,0.01946357185627695,0.16968787380581057,0.09911380563972011,-0.50000000000000000,1817.76950339145810176,141.19321525154654751,3743.42123887267280224,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02132892608642578
6,18.55441403388977051,-0.00259593596063573,-0.00004950466695575,0.01374081105734621,0.19999996201980719,0.14281248191903387,-0.50000000000000000,2072.78345778780749242,162.01361159317909255,4268.51056808344765159,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01868700981140137
7,18.65087437629699707,0.00049201903234897,-0.00175045398196190,0.00008637669156218,0.20000000000000001,0.19999949631632502,-0.50000000000000000,2286.58223585959513002,182.78536718369363712,4722.07200956682299875,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01512336730957031
8,18.74873566627502441,0.00890855527741685,-0.00533651679780615,-0.02635214810141617,0.15168054851332485,0.20000000000000001,-0.50000000000000000,2420.27032991222404235,204.92229949039401049,5053.03047213729132636,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01316452026367188
9,18.84945154190063477,0.02251679435895504,-0.00678030641559779,-0.06059610173349069,0.03675335822685979,0.20000000000000001,-0.50000000000000000,2500.38294919201825905,218.67163526375603055,5247.01624038110730908,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01383972167968750
9,18.84945154190063477,0.04262198490851388,-0.00591991360347056,-0.10877561783677837,0.00000000000000000,0.00000000000000000,0.00000000000000000,2500.38294919201825905,218.67163526375603055,5247.01624038110730908,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.01383972167968750
